,movieId,genres,Title,year_released
60,68,"comedy, romance",French Twist ,Gazon maudit (1995
61,69,comedy,Friday ,1995
62,70,"action, comedy, horror, thriller",From Dusk Till Dawn ,1996
63,71,action,Fair Game ,1995
64,72,"comedy, drama",Kicking and Screaming ,1995
65,73,"drama, war","Misérables, Les ",1995
66,74,"drama, romance",Bed of Roses ,1996
67,75,"comedy, drama",Big Bully ,1996
68,76,"action, sci-fi, thriller",Screamers ,1995
69,77,documentary,Nico Icon ,1995
70,78,"action, crime, drama, thriller","Crossing Guard, The ",1995
71,79,"drama, thriller","Juror, The ",1996
72,80,"children, drama","White Balloon, The ",Badkonake sefid (1995
73,81,"crime, drama, romance",Things to Do in Denver When You're Dead ,1995
74,82,"comedy, drama",Antonia's Line ,Antonia (1995
75,83,"drama, romance",Once Upon a Time... When We Were Colored ,1995
76,85,"drama, romance",Angels and Insects ,1995
77,86,"action, adventure, drama",White Squall ,1996
78,87,"children, comedy",Dunston Checks In ,1996
79,88,comedy,Black Sheep ,1996
80,89,"action, thriller",Nick of Time ,1995
81,92,"drama, horror, thriller",Mary Reilly ,1996
82,93,"comedy, horror, romance",Vampire in Brooklyn ,1995
83,94,"comedy, drama, romance",Beautiful Girls ,1996
84,95,"action, adventure, thriller",Broken Arrow ,1996
85,96,"comedy, drama",In the Bleak Midwinter ,1995
86,97,"crime, drama",Hate ,"Haine, La (1995"
87,99,documentary,Heidi Fleiss: Hollywood Madam ,1995
88,100,"drama, thriller",City Hall ,1996
89,101,"adventure, comedy, crime, romance",Bottle Rocket ,1996
90,102,comedy,Mr. Wrong ,1996
91,103,"mystery, sci-fi, thriller",Unforgettable ,1996
92,104,comedy,Happy Gilmore ,1996
93,105,"drama, romance","Bridges of Madison County, The ",1995
94,106,"comedy, drama",Nobody Loves Me ,Keiner liebt mich (1994
95,107,"adventure, children, comedy, musical",Muppet Treasure Island ,1996
96,108,documentary,Catwalk ,1996
97,110,"action, drama, war",Braveheart ,1995
98,111,"crime, drama, thriller",Taxi Driver ,1976
99,112,"action, adventure, comedy, crime",Rumble in the Bronx ,Hont faan kui (1995
100,113,"drama, mystery",Before and After ,1996
101,116,documentary,Anne Frank Remembered ,1995
102,117,"crime, drama","Young Poisoner's Handbook, The ",1995
103,118,"comedy, romance",If Lucy Fell ,1996
104,119,comedy,"Steal Big, Steal Little ",1995
105,121,drama,"Boys of St. Vincent, The ",1992
106,122,"comedy, romance",Boomerang ,1992
107,123,"drama, mystery, romance",Chungking Express ,Chung Hing sam lam (1994
108,125,comedy,Flirting With Disaster ,1996
109,126,"adventure, children, fantasy","NeverEnding Story III, The ",1994
110,128,documentary,Jupiter's Wife ,1994
111,129,"comedy, romance",Pie in the Sky ,1996
112,132,thriller,Jade ,1995
113,135,comedy,Down Periscope ,1996
114,137,documentary,Man of the Year ,1995
115,140,"drama, romance",Up Close and Personal ,1996
116,141,comedy,"Birdcage, The ",1996
117,144,comedy,"Brothers McMullen, The ",1995
118,145,"action, comedy, crime, drama, thriller",Bad Boys ,1995
119,146,"adventure, children","Amazing Panda Adventure, The ",1995
120,147,drama,"Basketball Diaries, The ",1995
121,148,drama,"Awfully Big Adventure, An ",1995
122,149,"crime, drama, thriller",Amateur ,1994
123,150,"adventure, drama, imax",Apollo 13 ,1995
124,151,"action, drama, romance, war",Rob Roy ,1995
125,152,"drama, horror","Addiction, The ",1995
126,153,"action, adventure, comedy, crime",Batman Forever ,1995
127,154,drama,Beauty of the Day ,Belle de jour (1967
128,155,"adventure, drama, war",Beyond Rangoon ,1995
129,156,"comedy, drama",Blue in the Face ,1995
130,157,"comedy, war",Canadian Bacon ,1995
131,158,"adventure, children",Casper ,1995
132,159,"crime, drama, mystery",Clockers ,1995
133,160,"action, adventure, mystery, sci-fi",Congo ,1995
134,161,"drama, thriller, war",Crimson Tide ,1995
135,162,documentary,Crumb ,1994
136,163,"action, romance, western",Desperado ,1995
137,164,"crime, film-noir, mystery, thriller",Devil in a Blue Dress ,1995
138,165,"action, crime, thriller",Die Hard: With a Vengeance ,1995
139,166,"comedy, crime, drama","Doom Generation, The ",1995
140,168,"action, drama, romance",First Knight ,1995
141,169,"adventure, children, drama",Free Willy 2: The Adventure Home ,1995
142,170,"action, adventure, crime, thriller",Hackers ,1995
143,171,"comedy, drama",Jeffrey ,1995
144,172,"action, sci-fi, thriller",Johnny Mnemonic ,1995
145,173,"action, crime, sci-fi",Judge Dredd ,1995
146,174,comedy,Jury Duty ,1995
147,175,drama,Kids ,1995
148,176,comedy,Living in Oblivion ,1995
149,177,horror,Lord of Illusions ,1995
150,178,"comedy, drama",Love & Human Remains ,1993
151,179,"drama, romance",Mad Love ,1995
152,180,"comedy, romance",Mallrats ,1995
153,181,"action, children",Mighty Morphin Power Rangers: The Movie ,1995
154,183,"comedy, horror, thriller",Mute Witness ,1994
155,184,drama,Nadja ,1994
156,185,"action, crime, thriller","Net, The ",1995
157,186,"comedy, romance",Nine Months ,1995
158,187,comedy,Party Girl ,1995
159,188,"fantasy, horror, mystery","Prophecy, The ",1995
160,189,"comedy, fantasy",Reckless ,1995
161,190,thriller,Safe ,1995
162,191,"drama, romance","Scarlet Letter, The ",1995
163,193,drama,Showgirls ,1995
164,194,"comedy, drama",Smoke ,1995
165,195,"comedy, drama, romance",Something to Talk About ,1995
166,196,"horror, sci-fi",Species ,1995
167,198,"action, crime, drama, mystery, sci-fi, thriller",Strange Days ,1995
168,199,"drama, musical, romance","Umbrellas of Cherbourg, The ","Parapluies de Cherbourg, Les (1964"
169,201,"drama, fantasy",Three Wishes ,1995
170,202,"drama, romance",Total Eclipse ,1995
171,203,comedy,"To Wong Foo, Thanks for Everything! Julie Newmar ",1995
172,204,action,Under Siege 2: Dark Territory ,1995
173,205,"comedy, drama",Unstrung Heroes ,1995
174,206,documentary,Unzipped ,1995
175,207,"drama, romance","Walk in the Clouds, A ",1995
176,208,"action, adventure, sci-fi",Waterworld ,1995
177,209,drama,White Man's Burden ,1995
178,210,western,Wild Bill ,1995
179,211,drama,"Browning Version, The ",1994
180,212,"adventure, comedy, crime, mystery",Bushwhacked ,1995
181,213,drama,Burnt by the Sun ,Utomlyonnye solntsem (1994
182,214,"drama, war",Before the Rain ,Pred dozhdot (1994
183,215,"drama, romance",Before Sunrise ,1995
184,216,comedy,Billy Madison ,1995
185,217,"drama, thriller","Babysitter, The ",1995
186,218,"comedy, drama",Boys on the Side ,1995
187,219,drama,"Cure, The ",1995
188,220,horror,Castle Freak ,1995
189,222,"drama, romance",Circle of Friends ,1995
190,223,comedy,Clerks ,1994
191,224,"comedy, drama, romance",Don Juan DeMarco ,1995
192,225,"drama, thriller",Disclosure ,1994
193,227,"action, thriller",Drop Zone ,1994
194,228,comedy,Destiny Turns on the Radio ,1995
195,229,"drama, thriller",Death and the Maiden ,1994
196,230,"drama, thriller",Dolores Claiborne ,1995
197,231,"adventure, comedy",Dumb & Dumber ,Dumb and Dumber (1994
198,232,"comedy, drama, romance",Eat Drink Man Woman ,Yin shi nan nu (1994
199,233,drama,Exotica ,1994
200,234,comedy,Exit to Eden ,1994
201,235,"comedy, drama",Ed Wood ,1994
202,236,"action, comedy, romance",French Kiss ,1995
203,237,"comedy, romance",Forget Paris ,1995
204,238,"adventure, children",Far From Home: The Adventures of Yellow Dog ,1995
205,239,"animation, children, comedy, romance","Goofy Movie, A ",1995
206,240,thriller,Hideaway ,1995
207,241,"children, drama",Fluke ,1995
208,242,"drama, musical",Farinelli: il castrato ,1994
209,243,"children, comedy, fantasy",Gordy ,1995
210,246,documentary,Hoop Dreams ,1994
211,247,"crime, drama",Heavenly Creatures ,1994
212,248,comedy,Houseguest ,1994
213,249,"drama, romance",Immortal Beloved ,1994
214,250,"children, comedy",Heavyweights ,Heavy Weights (1995
215,251,action,"Hunted, The ",1995
216,252,"comedy, romance",I.Q. ,1994
217,253,"drama, horror",Interview with the Vampire: The Vampire Chronicles ,1994
218,254,drama,Jefferson in Paris ,1995
219,255,comedy,"Jerky Boys, The ",1995
220,256,"comedy, sci-fi",Junior ,1994
221,257,"mystery, thriller",Just Cause ,1995
222,258,"adventure, children, comedy, fantasy, romance","Kid in King Arthur's Court, A ",1995
223,259,"crime, drama, thriller",Kiss of Death ,1995
224,260,"action, adventure, sci-fi",Star Wars: Episode IV - A New Hope ,1977
225,261,drama,Little Women ,1994
226,262,"children, drama","Little Princess, A ",1995
227,263,drama,Ladybird Ladybird ,1994
228,265,"drama, fantasy, romance",Like Water for Chocolate ,Como agua para chocolate (1992
229,266,"drama, romance, war, western",Legends of the Fall ,1994
230,267,comedy,Major Payne ,1995
231,269,drama,My Crazy Life ,Mi vida loca (1993
232,270,"drama, romance",Love Affair ,1994
233,271,drama,Losing Isaiah ,1995
234,272,"comedy, drama","Madness of King George, The ",1994
235,273,"drama, horror, sci-fi",Mary Shelley's Frankenstein ,Frankenstein (1994
236,274,comedy,Man of the House ,1995
237,275,comedy,Mixed Nuts ,1994
238,276,"comedy, romance",Milk Money ,1994
239,277,drama,Miracle on 34th Street ,1994
240,278,comedy,Miami Rhapsody ,1995
241,279,drama,My Family ,1995
242,280,"drama, thriller",Murder in the First ,1995
243,281,"comedy, drama, romance",Nobody's Fool ,1994
244,282,drama,Nell ,1994
245,283,"crime, drama",New Jersey Drive ,1995
246,284,"action, crime",New York Cop ,Nyû Yôku no koppu (1993
247,285,"drama, horror",Beyond Bedlam ,1993
248,287,"comedy, romance",Nina Takes a Lover ,1994
249,288,"action, crime, thriller",Natural Born Killers ,1994
250,289,"comedy, romance",Only You ,1994
251,290,"crime, drama",Once Were Warriors ,1994
252,291,"drama, thriller",Poison Ivy II ,1996
253,292,"action, drama, sci-fi, thriller",Outbreak ,1995
254,293,"action, crime, drama, thriller",Léon: The Professional ,a.k.a. The Professional (Léon (1994
255,294,"comedy, romance","Perez Family, The ",1995
256,295,"comedy, romance","Pyromaniac's Love Story, A ",1995
257,296,"comedy, crime, drama, thriller",Pulp Fiction ,1994
258,298,drama,Pushing Hands ,Tui shou (1992
259,299,drama,Priest ,1994
260,300,drama,Quiz Show ,1994
261,301,"drama, romance",Picture Bride ,Bijo photo (1994
262,302,"drama, romance",Queen Margot ,"Reine Margot, La (1994"
263,303,"action, thriller, western","Quick and the Dead, The ",1995
264,304,"comedy, drama",Roommates ,1995
265,305,comedy,Ready to Wear ,Pret-A-Porter (1994
266,306,drama,Three Colors: Red ,Trois couleurs: Rouge (1994
267,307,drama,Three Colors: Blue ,Trois couleurs: Bleu (1993
268,308,"comedy, drama",Three Colors: White ,Trzy kolory: Bialy (1994
269,310,comedy,Rent-a-Kid ,1995
270,311,"horror, thriller",Relative Fear ,1994
271,312,comedy,Stuart Saves His Family ,1995
272,313,"animation, children","Swan Princess, The ",1994
273,314,"children, drama, fantasy, mystery","Secret of Roan Inish, The ",1994
274,315,"action, drama, thriller","Specialist, The ",1994
275,316,"action, adventure, sci-fi",Stargate ,1994
276,317,"comedy, drama, fantasy","Santa Clause, The ",1994
277,318,"crime, drama","Shawshank Redemption, The ",1994
278,319,"comedy, drama, thriller",Shallow Grave ,1994
279,320,"film-noir, thriller",Suture ,1993
280,321,drama,Strawberry and Chocolate ,Fresa y chocolate (1993
281,322,"comedy, drama",Swimming with Sharks ,1995
282,324,"comedy, drama","Sum of Us, The ",1994
283,325,comedy,National Lampoon's Senior Trip ,1995
284,326,drama,To Live ,Huozhe (1994
285,327,"action, comedy, sci-fi",Tank Girl ,1995
286,328,"horror, thriller",Tales from the Crypt Presents: Demon Knight ,1995
287,329,"adventure, drama, sci-fi",Star Trek: Generations ,1994
288,330,"action, crime, horror",Tales from the Hood ,1995
289,331,drama,Tom & Viv ,1994
290,332,"horror, sci-fi",Village of the Damned ,1995
291,333,comedy,Tommy Boy ,1995
292,334,drama,Vanya on 42nd Street ,1994
293,335,"mystery, thriller",Underneath ,1995
294,336,"drama, war","Walking Dead, The ",1995
295,337,drama,What's Eating Gilbert Grape ,1993
296,338,"action, sci-fi, thriller",Virtuosity ,1995
297,339,"comedy, romance",While You Were Sleeping ,1995
298,340,"adventure, drama, war","War, The ",1994
299,341,drama,Double Happiness ,1994
300,342,comedy,Muriel's Wedding ,1994
301,343,children,"Baby-Sitters Club, The ",1995
302,344,comedy,Ace Ventura: Pet Detective ,1994
303,345,"comedy, drama","Adventures of Priscilla, Queen of the Desert, The ",1994
304,346,"drama, musical",Backbeat ,1993
305,347,"drama, film-noir, romance",Bitter Moon ,1992
306,348,comedy,Bullets Over Broadway ,1994
307,349,"action, crime, drama, thriller",Clear and Present Danger ,1994
308,350,"drama, mystery, thriller","Client, The ",1994
309,351,"comedy, drama, romance","Corrina, Corrina ",1994
310,352,"comedy, drama",Crooklyn ,1994
311,353,"action, crime, fantasy, thriller","Crow, The ",1994
312,354,drama,Cobb ,1994
313,355,"children, comedy, fantasy","Flintstones, The ",1994
314,356,"comedy, drama, romance, war",Forrest Gump ,1994
315,357,"comedy, romance",Four Weddings and a Funeral ,1994
316,358,drama,Higher Learning ,1995
317,359,"comedy, drama, romance",I Like It Like That ,1994
318,360,"action, comedy",I Love Trouble ,1994
319,361,"comedy, drama, romance",It Could Happen to You ,1994
320,362,"adventure, children, romance","Jungle Book, The ",1994
321,363,documentary,"Wonderful, Horrible Life of Leni Riefenstahl, The ","Macht der Bilder: Leni Riefenstahl, Die (1993"
322,364,"adventure, animation, children, drama, musical, imax","Lion King, The ",1994
323,365,drama,Little Buddha ,1993
324,366,"drama, horror, mystery, thriller",Wes Craven's New Nightmare ,"Nightmare on Elm Street Part 7: Freddy's Finale, A (1994"
325,367,"action, comedy, crime, fantasy","Mask, The ",1994
326,368,"adventure, comedy, western",Maverick ,1994
327,369,drama,Mrs. Parker and the Vicious Circle ,1994
328,370,"action, comedy",Naked Gun 33 1/3: The Final Insult ,1994
329,371,"comedy, drama","Paper, The ",1994
330,372,"comedy, drama, romance",Reality Bites ,1994
331,373,thriller,Red Rock West ,1992
332,374,"children, comedy",Richie Rich ,1994
333,376,"action, thriller","River Wild, The ",1994
334,377,"action, romance, thriller",Speed ,1994
335,378,"comedy, romance",Speechless ,1994
336,379,"action, sci-fi, thriller",Timecop ,1994
337,380,"action, adventure, comedy, romance, thriller",True Lies ,1994
338,381,"drama, romance",When a Man Loves a Woman ,1994
339,382,"drama, horror, romance, thriller",Wolf ,1994
340,383,western,Wyatt Earp ,1994
341,384,"action, crime, drama",Bad Company ,1995
342,385,drama,"Man of No Importance, A ",1994
343,386,drama,S.F.W. ,1994
344,387,"action, comedy","Low Down Dirty Shame, A ",1994
345,388,drama,Boys Life ,1995
346,389,"drama, romance, war","Colonel Chabert, Le ",1994
347,390,"action, crime, drama",Faster Pussycat! Kill! Kill! ,1965
348,391,"crime, drama",Jason's Lyric ,1994
349,393,"action, adventure, fantasy",Street Fighter ,1994
350,405,"action, fantasy",Highlander III: The Sorcerer ,a.k.a. Highlander: The Final Dimension (1994
351,406,drama,Federal Hill ,1994
352,407,"horror, thriller",In the Mouth of Madness ,1995
353,408,drama,8 Seconds ,1994
354,409,"crime, drama",Above the Rim ,1994
355,410,"children, comedy, fantasy",Addams Family Values ,1993
356,412,drama,"Age of Innocence, The ",1993
357,413,comedy,Airheads ,1994
358,414,comedy,"Air Up There, The ",1994
359,415,"comedy, thriller",Another Stakeout ,1993
360,416,western,Bad Girls ,1994
361,417,"comedy, romance",Barcelona ,1994
362,418,drama,Being Human ,1993
363,419,comedy,"Beverly Hillbillies, The ",1993
364,420,"action, comedy, crime, thriller",Beverly Hills Cop III ,1994
365,421,"adventure, children, drama",Black Beauty ,1994
366,422,thriller,Blink ,1994
367,423,"action, thriller",Blown Away ,1994
368,424,drama,Blue Chips ,1994
369,425,"drama, romance",Blue Sky ,1994
370,426,"horror, sci-fi, thriller",Body Snatchers ,1993
371,427,"drama, mystery, romance, thriller",Boxing Helena ,1993
372,428,drama,"Bronx Tale, A ",1993
373,429,comedy,Cabin Boy ,1994
374,430,"comedy, drama",Calendar Girl ,1993
375,431,"crime, drama",Carlito's Way ,1993
376,432,"adventure, comedy, western",City Slickers II: The Legend of Curly's Gold ,1994
377,433,comedy,Clean Slate ,1994
378,434,"action, adventure, thriller",Cliffhanger ,1993
379,435,"comedy, sci-fi",Coneheads ,1993
380,436,"drama, thriller",Color of Night ,1994
381,437,comedy,Cops and Robbersons ,1994
382,438,"action, comedy, drama","Cowboy Way, The ",1994
383,440,"comedy, romance",Dave ,1993
384,441,comedy,Dazed and Confused ,1993
385,442,"action, adventure, sci-fi",Demolition Man ,1993
386,444,"comedy, romance",Even Cowgirls Get the Blues ,1993
387,445,comedy,Fatal Instinct ,1993
388,446,"drama, romance",Farewell My Concubine ,Ba wang bie ji (1993
389,448,drama,Fearless ,1993
390,449,comedy,Fear of a Black Hat ,1994
391,450,"comedy, drama",With Honors ,1994
392,451,"drama, mystery, romance",Flesh and Bone ,1993
393,452,drama,Widows' Peak ,1994
394,453,"comedy, romance",For Love or Money ,1993
395,454,"drama, thriller","Firm, The ",1993
396,455,"adventure, children, drama",Free Willy ,1993
397,456,"crime, drama, thriller",Fresh ,1994
398,457,thriller,"Fugitive, The ",1993
399,458,"drama, western",Geronimo: An American Legend ,1993
400,459,"action, adventure, crime, drama, romance, thriller","Getaway, The ",1994
401,460,comedy,Getting Even with Dad ,1994
402,461,"drama, romance",Go Fish ,1994
403,464,"action, adventure, crime, thriller",Hard Target ,1993
404,466,"action, comedy, war",Hot Shots! Part Deux ,1993
405,467,comedy,Live Nude Girls ,1995
406,468,"comedy, romance","Englishman Who Went Up a Hill But Came Down a Mountain, The ",1995
407,469,"drama, romance","House of the Spirits, The ",1993
408,470,comedy,House Party 3 ,1994
409,471,comedy,"Hudsucker Proxy, The ",1994
410,472,"comedy, drama",I'll Do Anything ,1994
411,473,"comedy, war",In the Army Now ,1994
412,474,"action, thriller",In the Line of Fire ,1993
413,475,drama,In the Name of the Father ,1993
414,476,"comedy, drama","Inkwell, The ",1994
415,477,"drama, musical",What's Love Got to Do with It? ,1993
416,478,"comedy, crime, drama",Jimmy Hollywood ,1994
417,479,"action, crime, thriller",Judgment Night ,1993
418,480,"action, adventure, sci-fi, thriller",Jurassic Park ,1993
419,481,"drama, thriller",Kalifornia ,1993
420,482,"crime, drama, thriller",Killing Zoe ,1994
421,484,"adventure, children",Lassie ,1994
422,485,"action, adventure, comedy, fantasy",Last Action Hero ,1993
423,486,comedy,Life with Mikey ,1993
424,487,"comedy, western",Lightning Jack ,1994
425,488,"drama, romance",M. Butterfly ,1993
426,489,comedy,Made in America ,1993
427,490,thriller,Malice ,1993
428,491,drama,"Man Without a Face, The ",1993
429,492,"comedy, mystery",Manhattan Murder Mystery ,1993
430,493,"action, crime, drama",Menace II Society ,1993
431,494,"action, adventure, thriller",Executive Decision ,1996
432,495,drama,In the Realm of the Senses ,Ai no corrida (1976
433,496,"comedy, drama, romance, thriller",What Happened Was... ,1994
434,497,"comedy, romance",Much Ado About Nothing ,1993
435,499,"comedy, romance",Mr. Wonderful ,1993
436,500,"comedy, drama",Mrs. Doubtfire ,1993
437,501,drama,Naked ,1993
438,502,"action, children, romance","Next Karate Kid, The ",1994
439,504,"action, drama, sci-fi",No Escape ,1994
440,505,comedy,North ,1994
441,506,"drama, fantasy, romance",Orlando ,1992
442,507,"crime, drama, thriller","Perfect World, A ",1993
443,508,drama,Philadelphia ,1993
444,509,"drama, romance","Piano, The ",1993
445,510,drama,Poetic Justice ,1993
446,511,"action, drama","Program, The ",1993
447,512,"horror, sci-fi","Puppet Masters, The ",1994
448,513,"comedy, mystery, romance",Radioland Murders ,1994
449,514,comedy,"Ref, The ",1994
450,515,"drama, romance","Remains of the Day, The ",1993
451,516,"comedy, drama",Renaissance Man ,1994
452,517,"action, drama, mystery",Rising Sun ,1993
453,518,comedy,"Road to Wellville, The ",1994
454,519,"action, crime, drama, sci-fi, thriller",RoboCop 3 ,1993
455,520,comedy,Robin Hood: Men in Tights ,1993
456,521,"crime, thriller",Romeo Is Bleeding ,1993
457,522,"action, drama",Romper Stomper ,1992
458,523,drama,Ruby in Paradise ,1993
459,524,drama,Rudy ,1993
460,526,drama,Savage Nights ,"Nuits fauves, Les (1992"
461,527,"drama, war",Schindler's List ,1993
462,528,"comedy, drama","Scout, The ",1994
463,529,drama,Searching for Bobby Fischer ,1993
464,531,"children, drama","Secret Garden, The ",1993
465,532,"comedy, crime, horror",Serial Mom ,1994
466,533,"action, adventure, fantasy, mystery","Shadow, The ",1994
467,534,"drama, romance",Shadowlands ,1993
468,535,drama,Short Cuts ,1993
469,536,drama,"Simple Twist of Fate, A ",1994
470,537,drama,Sirens ,1994
471,538,drama,Six Degrees of Separation ,1993
472,539,"comedy, drama, romance",Sleepless in Seattle ,1993
473,540,thriller,Sliver ,1993
474,541,"action, sci-fi, thriller",Blade Runner ,1982
475,542,"comedy, drama, romance",Son in Law ,1993
476,543,"comedy, romance, thriller",So I Married an Axe Murderer ,1993
477,544,"action, crime",Striking Distance ,1993
478,546,"action, adventure, children, comedy, fantasy, sci-fi",Super Mario Bros. ,1993
479,547,"action, adventure, thriller",Surviving the Game ,1994
480,548,"action, mystery, thriller",Terminal Velocity ,1994
481,549,"drama, musical",Thirty-Two Short Films About Glenn Gould ,1993
482,550,"comedy, romance",Threesome ,1994
483,551,"animation, children, fantasy, musical","Nightmare Before Christmas, The ",1993
484,552,"action, adventure, comedy, romance","Three Musketeers, The ",1993
485,553,"action, drama, western",Tombstone ,1993
486,555,"crime, thriller",True Romance ,1993
487,556,documentary,"War Room, The ",1993
488,558,"action, adventure, animation, children, fantasy","Pagemaster, The ",1994
489,562,"comedy, drama",Welcome to the Dollhouse ,1995
490,563,"drama, romance",Germinal ,1993
491,564,comedy,Chasers ,1994
492,567,"comedy, drama",Kika ,1993
493,568,"comedy, drama",Bhaji on the Beach ,1993
494,569,"comedy, drama",Little Big League ,1994
495,573,drama,"Ciao, Professore! ",Io speriamo che me la cavo (1992
496,574,"comedy, drama",Spanking the Monkey ,1994
497,575,"children, comedy","Little Rascals, The ",1994
498,577,"adventure, children, drama",Andre ,1994
499,579,"crime, thriller","Escort, The ","Scorta, La (1993"
500,580,drama,Princess Caraboo ,1994
501,581,documentary,"Celluloid Closet, The ",1995
502,583,"comedy, drama",Dear Diary ,Caro Diario (1994
503,585,comedy,"Brady Bunch Movie, The ",1995
504,586,"children, comedy",Home Alone ,1990
505,587,"comedy, drama, fantasy, romance, thriller",Ghost ,1990
506,588,"adventure, animation, children, comedy, musical",Aladdin ,1992
507,589,"action, sci-fi",Terminator 2: Judgment Day ,1991
508,590,"adventure, drama, western",Dances with Wolves ,1990
509,592,"action, crime, thriller",Batman ,1989
510,593,"crime, horror, thriller","Silence of the Lambs, The ",1991
511,594,"animation, children, drama, fantasy, musical",Snow White and the Seven Dwarfs ,1937
512,595,"animation, children, fantasy, musical, romance, imax",Beauty and the Beast ,1991
513,596,"animation, children, fantasy, musical",Pinocchio ,1940
514,597,"comedy, romance",Pretty Woman ,1990
515,599,"adventure, western","Wild Bunch, The ",1969
516,600,"action, comedy, crime",Love and a .45 ,1994
517,602,documentary,"Great Day in Harlem, A ",1994
518,605,"drama, romance",One Fine Day ,1996
519,606,"fantasy, horror",Candyman: Farewell to the Flesh ,1995
520,608,"comedy, crime, drama, thriller",Fargo ,1996
521,609,"adventure, children",Homeward Bound II: Lost in San Francisco ,1996
522,610,"action, adventure, animation, horror, sci-fi",Heavy Metal ,1981
523,611,"action, horror, sci-fi",Hellraiser: Bloodline ,1996
524,612,comedy,"Pallbearer, The ",1996
525,613,"drama, romance",Jane Eyre ,1996
526,615,"comedy, drama",Bread and Chocolate ,Pane e cioccolata (1973
527,616,"animation, children","Aristocats, The ",1970
528,617,"comedy, drama","Flower of My Secret, The ",La flor de mi secreto (1995
529,618,"comedy, romance",Two Much ,1995
530,619,comedy,Ed ,1996
531,626,comedy,"Thin Line Between Love and Hate, A ",1996
532,627,"drama, thriller","Last Supper, The ",1995
533,628,"crime, drama, mystery, thriller",Primal Fear ,1996
534,631,"adventure, animation, children, fantasy, musical, romance",All Dogs Go to Heaven 2 ,1996
535,632,"drama, war",Land and Freedom ,Tierra y libertad (1995
536,633,comedy,Denise Calls Up ,1995
537,634,comedy,Theodore Rex ,1995
538,635,"comedy, drama","Family Thing, A ",1996
539,636,drama,Frisk ,1995
540,637,comedy,Sgt. Bilko ,1996
541,638,romance,Jack and Sarah ,1995
542,639,"comedy, drama",Girl 6 ,1996
543,640,"drama, thriller",Diabolique ,1996
544,645,drama,Nelly & Monsieur Arnaud ,1995
545,647,"action, crime, drama, war",Courage Under Fire ,1996
